_id,time,latitude,longitude,accuracy
ObjectId("5d25595c8e1804c8891f7a6d"),1562728795562,14.635835,121.0734383,11.199999809265137
ObjectId("5d25595d8e1804c8891f7a6f"),1562728796638,14.635835,121.0734383,11.199999809265137
ObjectId("5d25595e8e1804c8891f7a71"),1562728797605,14.635835,121.0734383,11.199999809265137
ObjectId("5d25595f8e1804c8891f7a73"),1562728798672,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559608e1804c8891f7a75"),1562728799634,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559618e1804c8891f7a77"),1562728800666,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559628e1804c8891f7a79"),1562728801635,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559638e1804c8891f7a7b"),1562728802710,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559638e1804c8891f7a7d"),1562728802992,14.6477917,121.0671076,818
ObjectId("5d2559648e1804c8891f7a7f"),1562728803661,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559648e1804c8891f7a81"),1562728803868,14.6477917,121.0671076,818
ObjectId("5d2559658e1804c8891f7a83"),1562728804631,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559658e1804c8891f7a85"),1562728804897,14.6477331,121.066797,818
ObjectId("5d2559668e1804c8891f7a87"),1562728805703,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559668e1804c8891f7a89"),1562728805860,14.6478503,121.0674182,818
ObjectId("5d2559678e1804c8891f7a8b"),1562728806678,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559678e1804c8891f7a8d"),1562728806888,14.6478503,121.0674182,818
ObjectId("5d2559688e1804c8891f7a8f"),1562728807724,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559698e1804c8891f7a91"),1562728807874,14.6478503,121.0674182,818
ObjectId("5d2559698e1804c8891f7a93"),1562728808651,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559698e1804c8891f7a95"),1562728808863,14.6478503,121.0674182,818
ObjectId("5d25596a8e1804c8891f7a97"),1562728809717,14.635835,121.0734383,11.199999809265137
ObjectId("5d25596a8e1804c8891f7a99"),1562728809898,14.6478503,121.0674182,818
ObjectId("5d25596b8e1804c8891f7a9b"),1562728809313,14.635835,121.0734383,11.199999809265137
ObjectId("5d25596b8e1804c8891f7a9d"),1562728810867,14.6478503,121.0674182,818
ObjectId("5d25596c8e1804c8891f7a9f"),1562728810191,14.635835,121.0734383,11.199999809265137
ObjectId("5d25596c8e1804c8891f7aa1"),1562728811876,14.6482697,121.0678181,818
ObjectId("5d25596d8e1804c8891f7aa3"),1562728811271,14.635835,121.0734383,11.199999809265137
ObjectId("5d25596d8e1804c8891f7aa5"),1562728812879,14.6486891,121.068218,818
ObjectId("5d25596e8e1804c8891f7aa7"),1562728812212,14.635835,121.0734383,11.199999809265137
ObjectId("5d25596e8e1804c8891f7aa9"),1562728813877,14.6491086,121.0686179,818
ObjectId("5d25596f8e1804c8891f7aab"),1562728813255,14.635835,121.0734383,11.199999809265137
ObjectId("5d25596f8e1804c8891f7aad"),1562728814895,14.6491086,121.0686179,818
ObjectId("5d2559708e1804c8891f7aaf"),1562728814302,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559708e1804c8891f7ab1"),1562728815894,14.6491086,121.0686179,818
ObjectId("5d2559718e1804c8891f7ab3"),1562728815206,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559718e1804c8891f7ab5"),1562728816887,14.6491086,121.0686179,818
ObjectId("5d2559728e1804c8891f7ab7"),1562728816243,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559728e1804c8891f7ab9"),1562728817894,14.6491086,121.0686179,818
ObjectId("5d2559738e1804c8891f7abb"),1562728817272,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559738e1804c8891f7abd"),1562728818893,14.6491086,121.0686179,818
ObjectId("5d2559748e1804c8891f7abf"),1562728818350,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559748e1804c8891f7ac1"),1562728819888,14.6485719,121.0675969,818
ObjectId("5d2559758e1804c8891f7ac3"),1562728819250,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559758e1804c8891f7ac5"),1562728820898,14.6491086,121.0686179,818
ObjectId("5d2559768e1804c8891f7ac7"),1562728820278,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559768e1804c8891f7ac9"),1562728821897,14.6491086,121.0686179,818
ObjectId("5d2559778e1804c8891f7acb"),1562728821267,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559778e1804c8891f7acd"),1562728822893,14.6491086,121.0686179,818
