time,latitude,longitude,speed,heading,altitude,accuracy
1562896201898,14.65783113,121.06844625,0.5199999809265137,181.89999389648438,108,6
1562896202715,14.65783601,121.06845481,0.28999999165534973,181.5,108,6
1562896202747,14.65783601,121.06845481,0.28999999165534973,181.5,108,6
1562896202782,14.65783601,121.06845481,0.28999999165534973,181.5,108,6
1562896202815,14.65783601,121.06845481,0.28999999165534973,181.5,108,6
1562896202848,14.65783601,121.06845481,0.28999999165534973,181.5,108,6
1562896202883,14.65783601,121.06845481,0.28999999165534973,181.5,108,6
1562896203703,14.65783498,121.06846551,0.15000000596046448,181,107,6
1562896203738,14.65783498,121.06846551,0.15000000596046448,181,107,6
1562896203770,14.65783498,121.06846551,0.15000000596046448,181,107,6
1562896203801,14.65783498,121.06846551,0.15000000596046448,181,107,6
1562896203840,14.65783498,121.06846551,0.15000000596046448,181,107,6
1562896203871,14.65783498,121.06846551,0.15000000596046448,181,107,6
1562896204693,14.65782839,121.0684603,0.5400000214576721,181.1999969482422,107,5
1562896204728,14.65782839,121.0684603,0.5400000214576721,181.1999969482422,107,5
1562896204766,14.65782839,121.0684603,0.5400000214576721,181.1999969482422,107,5
1562896204797,14.65782839,121.0684603,0.5400000214576721,181.1999969482422,107,5
1562896204829,14.65782839,121.0684603,0.5400000214576721,181.1999969482422,107,5
1562896204861,14.65782839,121.0684603,0.5400000214576721,181.1999969482422,107,5
1562896206141,14.65781187,121.06846293,1.2100000381469727,181.10000610351562,107,6
1562896206176,14.65781187,121.06846293,1.2100000381469727,181.10000610351562,107,6
1562896206211,14.65781187,121.06846293,1.2100000381469727,181.10000610351562,107,6
1562896206249,14.65781187,121.06846293,1.2100000381469727,181.10000610351562,107,6
1562896206284,14.65781187,121.06846293,1.2100000381469727,181.10000610351562,107,6
1562896206323,14.65781187,121.06846293,1.2100000381469727,181.10000610351562,107,6
1562896220334,14.65757902,121.06827144,4.019999980926514,270.6000061035156,113,10
1562896220380,14.65757902,121.06827144,4.019999980926514,270.6000061035156,113,10
1562896221376,14.65757869,121.06820056,3.9100000858306885,270.79998779296875,111,6
1562896221389,14.65757869,121.06820056,3.9100000858306885,270.79998779296875,111,6
1562896222374,14.65758067,121.06815367,3.2200000286102295,272.20001220703125,111,5
1562896222403,14.65758067,121.06815367,3.2200000286102295,272.20001220703125,111,5
1562896223340,14.65758375,121.0681127,3.569999933242798,272.5,111,4
1562896223360,14.65758375,121.0681127,3.569999933242798,272.5,111,4
1562896224407,14.65758726,121.0680691,4.070000171661377,271.6000061035156,111,4
1562896224421,14.65758726,121.0680691,4.070000171661377,271.6000061035156,111,4
1562896225341,14.65758888,121.06802515,4.119999885559082,270.29998779296875,109,3
1562896225354,14.65758888,121.06802515,4.119999885559082,270.29998779296875,109,3
1562896226340,14.65759126,121.06797813,4.599999904632568,273.70001220703125,110,3
1562896226363,14.65759126,121.06797813,4.599999904632568,273.70001220703125,110,3
1562896227342,14.65761057,121.06790833,5.019999980926514,281.70001220703125,109,3
1562896227362,14.65761057,121.06790833,5.019999980926514,281.70001220703125,109,3
1562896227966,14.65761057,121.06790833,5.019999980926514,281.70001220703125,109,3
1562896228339,14.65760481,121.06785517,5.699999809265137,269.8999938964844,110,3
1562896228357,14.65760481,121.06785517,5.699999809265137,269.8999938964844,110,3
1562896228967,14.65760481,121.06785517,5.699999809265137,269.8999938964844,110,3
1562896229338,14.65760295,121.06780145,5.679999828338623,271,109,3
1562896229360,14.65760295,121.06780145,5.679999828338623,271,109,3
1562896230353,14.65760323,121.06775222,5.610000133514404,271.20001220703125,110,3
1562896230368,14.65760323,121.06775222,5.610000133514404,271.20001220703125,110,3
1562896231344,14.65760278,121.06768474,6.25,271,111,3
1562896231367,14.65760278,121.06768474,6.25,271,111,3
1562896232341,14.65760719,121.06761894,6.5,269,110,3
1562896232355,14.65760719,121.06761894,6.5,269,110,3
1562896233347,14.65760621,121.06756259,6.5,270.70001220703125,110,3
1562896233368,14.65760621,121.06756259,6.5,270.70001220703125,110,3
1562896234343,14.6576084,121.06749547,6.760000228881836,272.1000061035156,110,3
1562896234360,14.6576084,121.06749547,6.760000228881836,272.1000061035156,110,3
1562896235340,14.65761881,121.0674416,6.21999979019165,274.79998779296875,110,3
1562896235356,14.65761881,121.0674416,6.21999979019165,274.79998779296875,110,3
1562896236344,14.65760765,121.06737544,6.440000057220459,267,112,3
1562896236360,14.65760765,121.06737544,6.440000057220459,267,112,3
1562896237342,14.65760045,121.06732133,5.980000019073486,268.70001220703125,113,3
1562896237365,14.65760045,121.06732133,5.980000019073486,268.70001220703125,113,3
1562896238350,14.65759635,121.06726319,5.539999961853027,271.20001220703125,113,3
1562896238361,14.65759635,121.06726319,5.539999961853027,271.20001220703125,113,3
1562896238747,14.65759635,121.06726319,5.539999961853027,271.20001220703125,113,3
1562896238762,14.65759635,121.06726319,5.539999961853027,271.20001220703125,113,3
1562896239348,14.6575909,121.06720937,5.050000190734863,268.29998779296875,113,3
1562896239367,14.6575909,121.06720937,5.050000190734863,268.29998779296875,113,3
1562896240346,14.65759864,121.06717681,4.239999771118164,268.1000061035156,112,3
1562896240369,14.65759864,121.06717681,4.239999771118164,268.1000061035156,112,3
1562896241352,14.65761392,121.06713812,4.639999866485596,271.20001220703125,111,3
1562896241365,14.65761392,121.06713812,4.639999866485596,271.20001220703125,111,3
1562896242351,14.65761212,121.06710463,3.9000000953674316,264.29998779296875,110,3
1562896242387,14.65761212,121.06710463,3.9000000953674316,264.29998779296875,110,3
1562896243350,14.65761221,121.06707106,3.25,273.5,110,3
1562896243367,14.65761221,121.06707106,3.25,273.5,110,3
1562896244351,14.65761256,121.06704256,3.240000009536743,271.6000061035156,110,3
1562896244375,14.65761256,121.06704256,3.240000009536743,271.6000061035156,110,3
1562896245350,14.65761094,121.06701402,2.9000000953674316,270.8999938964844,110,3
1562896245370,14.65761094,121.06701402,2.9000000953674316,270.8999938964844,110,3
1562896246346,14.65760922,121.06699326,2.940000057220459,269.5,110,3
1562896246367,14.65760922,121.06699326,2.940000057220459,269.5,110,3
1562896247374,14.65760966,121.0669739,2.7100000381469727,282.29998779296875,109,3
1562896247402,14.65760966,121.0669739,2.7100000381469727,282.29998779296875,109,3
1562896248342,14.6576104,121.0669384,3.619999885559082,274.1000061035156,109,3
1562896248366,14.6576104,121.0669384,3.619999885559082,274.1000061035156,109,3
1562896249341,14.6576106,121.06689864,3.9600000381469727,273,109,3
1562896249361,14.6576106,121.06689864,3.9600000381469727,273,109,3
1562896250354,14.657614,121.06686226,3.880000114440918,275.3999938964844,110,3
1562896250372,14.657614,121.06686226,3.880000114440918,275.3999938964844,110,3
1562896251343,14.6576166,121.06683037,3.1500000953674316,274.29998779296875,110,3
1562896251355,14.6576166,121.06683037,3.1500000953674316,274.29998779296875,110,3
1562896252336,14.65761954,121.06680005,3.2899999618530273,276.70001220703125,111,3
1562896252349,14.65761954,121.06680005,3.2899999618530273,276.70001220703125,111,3
1562896253343,14.65762201,121.06676507,3.8399999141693115,275.3999938964844,111,3
1562896253378,14.65762201,121.06676507,3.8399999141693115,275.3999938964844,111,3
1562896254342,14.65762408,121.06672205,4.900000095367432,272.8999938964844,112,3
1562896254360,14.65762408,121.06672205,4.900000095367432,272.8999938964844,112,3
1562896255347,14.65761727,121.06665932,5.480000019073486,268.6000061035156,112,3
1562896255375,14.65761727,121.06665932,5.480000019073486,268.6000061035156,112,3
1562896256381,14.65762361,121.0666065,6,273.6000061035156,111,3
1562896256402,14.65762361,121.0666065,6,273.6000061035156,111,3
1562896257345,14.65762119,121.06654984,5.940000057220459,270.70001220703125,111,3
1562896257368,14.65762119,121.06654984,5.940000057220459,270.70001220703125,111,3
1562896258342,14.65762175,121.06649314,5.96999979019165,270.70001220703125,111,3
1562896258356,14.65762175,121.06649314,5.96999979019165,270.70001220703125,111,3
1562896258979,14.65762175,121.06649314,5.96999979019165,270.70001220703125,111,3
1562896258991,14.65762175,121.06649314,5.96999979019165,270.70001220703125,111,3
1562896259343,14.65762191,121.06643727,5.559999942779541,271.5,111,3
1562896259358,14.65762191,121.06643727,5.559999942779541,271.5,111,3
1562896260337,14.65762031,121.06638774,5.010000228881836,269.70001220703125,111,3
1562896260357,14.65762031,121.06638774,5.010000228881836,269.70001220703125,111,3
1562896261346,14.65762167,121.06635467,3.859999895095825,267.79998779296875,112,3
1562896261373,14.65762167,121.06635467,3.859999895095825,267.79998779296875,112,3
1562896262359,14.65762159,121.06632589,3.509999990463257,267.5,112,3
1562896262377,14.65762159,121.06632589,3.509999990463257,267.5,112,3
1562896263341,14.65761773,121.06629095,3.690000057220459,269.79998779296875,112,3
1562896263365,14.65761773,121.06629095,3.690000057220459,269.79998779296875,112,3
1562896264349,14.65760625,121.06624004,4.769999980926514,270.8999938964844,112,3
1562896264367,14.65760625,121.06624004,4.769999980926514,270.8999938964844,112,3
1562896265345,14.657607,121.06617994,5.71999979019165,273,112,3
1562896265368,14.657607,121.06617994,5.71999979019165,273,112,3
1562896266344,14.65760442,121.06611333,6.760000228881836,267.6000061035156,112,3
1562896266365,14.65760442,121.06611333,6.760000228881836,267.6000061035156,112,3
1562896267345,14.65760533,121.0660471,7.190000057220459,271,112,3
1562896267366,14.65760533,121.0660471,7.190000057220459,271,112,3
1562896268340,14.65760772,121.06597808,7.420000076293945,270.5,112,3
1562896268359,14.65760772,121.06597808,7.420000076293945,270.5,112,3
1562896269352,14.65760182,121.06591073,7.289999961853027,268.8999938964844,112,3
1562896269371,14.65760182,121.06591073,7.289999961853027,268.8999938964844,112,3
1562896270348,14.65761232,121.06585015,6.559999942779541,275.70001220703125,111,3
1562896270369,14.65761232,121.06585015,6.559999942779541,275.70001220703125,111,3
