_id,uuid,time,latitude,longitude,altitude,client ip
ObjectId("5d22e9fb4c62602e3b146d6e"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569211447,14.6473187,121.0626533,111.79999542236328,175.176.17.146
ObjectId("5d22e9fc4c62602e3b146d70"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569212472,14.6473429,121.0626745,111.79999542236328,175.176.17.146
ObjectId("5d22e9fd4c62602e3b146d72"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569213475,14.6471629,121.0626476,111.5,175.176.17.146
ObjectId("5d22e9fe4c62602e3b146d74"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569214488,14.6473961,121.0626478,111.5,175.176.17.146
ObjectId("5d22e9ff4c62602e3b146d76"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569215478,14.6473529,121.0626155,111.79999542236328,175.176.17.146
ObjectId("5d22ea004c62602e3b146d78"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569216492,14.6472055,121.0626215,111.79999542236328,175.176.17.146
ObjectId("5d22ea014c62602e3b146d7a"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569217492,14.6473551,121.0626639,111.5,175.176.17.146
ObjectId("5d22ea024c62602e3b146d7c"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569218497,14.6473794,121.062647,111.5,175.176.17.146
ObjectId("5d22ea034c62602e3b146d7e"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569219516,14.6473855,121.0626427,111.5,175.176.17.146
ObjectId("5d22ea044c62602e3b146d80"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569220521,14.6474083,121.0626454,111.79999542236328,175.176.17.146
ObjectId("5d22ea054c62602e3b146d82"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569221534,14.6472164,121.0626598,111.79999542236328,175.176.17.146
ObjectId("5d22ea064c62602e3b146d84"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569222533,14.6472164,121.0626598,111.79999542236328,175.176.17.146
ObjectId("5d22ea074c62602e3b146d86"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569223549,14.6473856,121.0626692,111.79999542236328,175.176.17.146
ObjectId("5d22ea084c62602e3b146d88"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569224549,14.6471007,121.0626317,111.5,175.176.17.146
ObjectId("5d22ea094c62602e3b146d8a"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569225556,14.6470609,121.0626298,111.5,175.176.17.146
ObjectId("5d22ea0a4c62602e3b146d8c"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569226558,14.647282,121.0626574,111.5,175.176.17.146
ObjectId("5d22ea0b4c62602e3b146d8e"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569227568,14.6472746,121.0628419,,175.176.17.146
ObjectId("5d22ea0c4c62602e3b146d90"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569228567,14.6471047,121.0626905,111.5,175.176.17.146
ObjectId("5d22ea0d4c62602e3b146d92"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569229578,14.6473453,121.0626736,111.5,175.176.17.146
